subgroup,auroc,auprc,sensitivity,specificity,brier_score,threshold_used,n,n_positive
Age < 40,0.5468080812610714,0.4194190665586918,0.8633540372670807,0.13357400722021662,0.2323678034516385,0.3553234802529636,438,161
Age 40–60,0.5370869737173264,0.4132507366838518,0.8582677165354331,0.1780821917808219,0.23222348526028913,0.3553234802529636,346,127
Age > 60,0.5324100244959487,0.38010294111546294,0.9180327868852459,0.12931034482758622,0.22590166006537393,0.3553234802529636,531,183
Diabetes = No,0.5678728946893297,0.38283691110577617,0.8978102189781022,0.1696113074204947,0.2205152957810865,0.3553234802529636,420,137
Diabetes = Yes,0.5225484859158688,0.40826871152736144,0.8772455089820359,0.13012477718360071,0.23403774422182674,0.3553234802529636,895,334
Smoking = No,0.48611111111111116,0.40249441555247845,0.8888888888888888,0.0875,0.24265319861765808,0.3553234802529636,134,54
Smoking = Yes,0.5423744773814456,0.4001333967537032,0.882494004796163,0.14921465968586387,0.22825120803710844,0.3553234802529636,1181,417
